

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.297  000.292: locale set
008.356  008.059: inits 1
008.384  000.029: window checked
011.588  003.204: parsing arguments
011.886  000.298: expanding arguments
011.975  000.089: inits 2
012.390  000.415: init highlight
012.391  000.001: waiting for UI
014.732  002.341: done waiting for UI
014.748  000.016: init screen for UI
014.775  000.027: init default mappings
014.872  000.097: init default autocommands
052.838  000.135  000.135: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/provider/clipboard.vim
057.829  001.124  001.124: sourcing /Users/caoyu/.config/nvim/settings.vim
057.836  042.781  041.522: sourcing /Users/caoyu/.config/nvim/init.vim
057.838  000.185: sourcing vimrc file(s)
061.159  000.012  000.012: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/csv.vim/ftdetect/csv.vim
061.307  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/neorg/ftdetect/norg.vim
061.544  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fusion.vim
061.583  000.008  000.008: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
061.613  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
061.645  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
061.676  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glsl.vim
061.708  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gowork.vim
061.742  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
061.776  000.012  000.012: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hack.vim
061.814  000.013  000.013: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
