

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.349  000.343: locale set
007.451  007.101: inits 1
007.478  000.028: window checked
010.244  002.766: parsing arguments
010.502  000.258: expanding arguments
010.568  000.066: inits 2
010.983  000.415: init highlight
010.984  000.001: waiting for UI
012.698  001.714: done waiting for UI
012.706  000.008: init screen for UI
012.724  000.018: init default mappings
012.793  000.069: init default autocommands
014.831  001.242  001.242: sourcing /Users/caoyu/.config/nvim/autoload/plug.vim
028.697  000.019  000.019: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neorg/ftdetect/norg.vim
028.909  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/cls.vim
028.955  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tex.vim
028.999  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tikz.vim
029.122  000.029  000.029: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-markdown/ftdetect/markdown.vim
029.267  000.035  000.035: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-pandoc/ftdetect/pandoc.vim
029.386  000.014  000.014: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/csv.vim/ftdetect/csv.vim
029.507  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org.vim
029.564  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org_archive.vim
029.868  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/fusion.vim
029.912  000.011  000.011: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdresource.vim
029.955  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdscript.vim
030.004  000.010  000.010: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glimmer.vim
030.046  000.010  000.010: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glsl.vim
