

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.018  000.018: --- NVIM STARTING ---
000.196  000.178: locale set
004.555  004.359: inits 1
004.567  000.012: window checked
006.870  002.303: parsing arguments
007.124  000.254: expanding arguments
007.174  000.050: inits 2
007.685  000.510: init highlight
007.686  000.001: waiting for UI
009.535  001.849: done waiting for UI
009.541  000.006: init screen for UI
009.557  000.016: init default mappings
009.604  000.047: init default autocommands
010.928  000.861  000.861: sourcing /Users/caoyu/.config/nvim/autoload/plug.vim
022.204  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neorg/ftdetect/norg.vim
022.337  000.010  000.010: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/cls.vim
022.375  000.013  000.013: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tex.vim
022.405  000.008  000.008: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/ftdetect/tikz.vim
022.490  000.021  000.021: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-markdown/ftdetect/markdown.vim
022.572  000.027  000.027: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-pandoc/ftdetect/pandoc.vim
022.645  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/csv.vim/ftdetect/csv.vim
022.727  000.006  000.006: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org.vim
022.760  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/ftdetect/org_archive.vim
023.013  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/fusion.vim
023.044  000.009  000.009: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdresource.vim
023.073  000.007  000.007: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/gdscript.vim
023.103  000.008  000.008: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glimmer.vim
023.132  000.008  000.008: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/ftdetect/glsl.vim
